账号,内容,时间,转发数,评论数
SamPoon,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。04CcChS30。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,04月30日 18:05, 转发 ,评论 
成都西门妙柏,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。04VzWUi24。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,04月24日 10:45, 转发 ,评论 
唐焦娟,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,04月22日 14:47, 转发 ,评论 
艾琪-53,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,04月17日 13:02, 转发 ,评论 
langtsangbumu,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,04月16日 22:01, 转发 ,评论 
山东叶秋蝶,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,04月16日 12:53, 转发 ,评论 
callme神马,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,04月11日 05:27, 转发 ,评论 
我是母狗作家陈岚,@作家陈岚这个微博的母狗作家陈岚太厉害了，我用了几年的老号因为王凤雅和救狗事件去她评论骂了她一句，就一句话，直接把我删评拉黑，然后我答题完发现很多正常大v的博我已经不能转发了。(你们可以去b站搜陈岚看看这人的恶心嘴脸)#鲍毓明辞去中兴通讯职务#这个号前段时间又看到母狗在闹事，还卖书起来了，我又去骂了她，这次学聪明了，用拼音骂的，结果没过几分钟又是拉黑删评，又无法正常评论其他大V的微博了，无法参与互动发言，直接就给拉小黑屋了，真牛批，这人是住在微博吗，怕不是夹总养的小三，只手遮天了还。#警方通报公司高管涉嫌性侵养女##南京警方就性侵养女案对话烟台警方#收起全文d,04月10日 11:29, 转发 ,评论 
Antuan,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。04DmSYu06。大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,04月06日 08:04, 转发 ,评论 
张闹闹Q,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。04oKpal03。以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,04月03日 01:28, 转发 ,评论 
胡雪峰是我的名字_抢个屁,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。04adahy02。以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,04月02日 22:15, 转发 ,评论 
Magique20,【082-反转新闻】记忆点:理解+特点+产生原因+影响+案例“反转新闻”是新媒体时代出现在舆论空间中的新现象，是指公众态度的反转。某条新闻刚出来时，舆论会把矛头指向某一方，可新公布的细节会使新闻剧情突然发生逆转，舆论态度立刻随着新剧情，情绪化地摆向对立的另一个方向。反转新闻具有以下特点:1.传播时间短。从事件的发生到事件的澄清或反转往往只有几天的时间。2.信息片面化。在这些反转型新闻中媒体报道的事件往往只呈现了事实的一个方面，或片面选择采访对象。3.话题具有争议性，能够在公众的视野内被关注被传播。产生的原因大致可以归纳为:1、后真相时代下，情绪大过于事实;2、记者报道失实与对公众焦虑的刻意迎合、刺激;3、碎片化的报道与公众刻板成见的结合。反转新闻是一种病态的新闻现象，在当下的自媒体时代愈发突出，每一次发生，都是对舆论生态和媒体公信力的破坏。“上海女孩逃婚事件”、“王凤雅事件”和“重庆公交车坠江事件”都是十分典型的反转新闻。【083-众包新闻】记忆点:定义+目的+要求众包新闻本质是 UGC(用户生产内容)，是由“众包”和新闻相结合而出现的新的新闻生产方式，就是将原本由媒体内部的工作人员完成的新闻任务，通过在互联网上设置发布选题，吸引普通大众参与生产制作的一种新的新闻生产方式。众包新闻，可以集思广益，充分发挥群众的力量，增加受众对新闻产品的关注度，比如卫报通过众包这 种创新实践，使其获得了良好的口碑和人气。传统媒体人可以充分利用这种新型新闻生产方式设置广大受众喜爱的议题，调动受众参与新闻生产的积极性，拓展新闻报道的内容和角度，同时要对参差不齐的内容进行严格把关，确保新闻品质。收起全文d,03月30日 22:51, 转发 1,评论 
浮云恩了,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。03DUqFo22。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,03月22日 08:19, 转发 ,评论 
尐a_u醜魚,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。03zWTpv15。大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,03月15日 05:23, 转发 ,评论 
浪漫宇宙_66074,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,03月11日 14:21, 转发 ,评论 
水做的姑娘,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。03ARWRT10。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,03月10日 23:06, 转发 ,评论 
不骂人的我呀我,#名词解释打卡D#25与虚假新闻归类，作为新闻真实的反面来学习“反转新闻”是新媒体时代出现在舆论空间中的新现象，是指公众态度的反转。某条新闻刚出来时，舆论会把矛头指向某一方，可新公布的细节会使新闻剧情突然发生逆转，舆论态度立刻随着新剧情，情绪化地摆向对立的另一个方向。（1）传播时间短，从事件的发生到事件的澄清或反转往往只有几天的时间；（2）信息片面化，在这些反转型新闻中媒体报道的事件往往只呈现了事实的一个方面，或片面选择采访对象；（3）话题具有争议性，能够在公众的视野内被关注被传播。（1）后真相时代下，情绪大过于事实；（2）记者报道失实与对公众焦虑的刻意迎合、刺激；（3）碎片化的报道与公众刻板成见的结合。反转新闻是一种病态的新闻现象，在当下的自媒体时代愈发突出，每一次发生，都是对舆论生态和媒体公信力的破坏。“上海女孩逃婚事件”、“王凤雅事件”和“重庆公交车坠江事件”都是十分典型的反转新闻。收起全文d,03月09日 12:15, 转发 ,评论 
贾小胖er,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。03zEVcl09。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,03月09日 00:39, 转发 ,评论 
哼哼_7,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。03WCSrF03。以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,03月03日 06:52, 转发 ,评论 
容易尴尬的Kelly,//@希波克拉底门徒之魂:我曾在果壳网上发过视网膜母细胞瘤的文章O患上痊愈率最高的癌症之一，王凤雅还是走了是关于王凤雅小朋友的病情分析。视网膜母细胞瘤治疗效果很好，但拖延不治病情会进展很快，王凤雅小朋友就是一个不幸的例子。希望有关部门早点安排麻麻去专业的大医院就诊。抱歉，此微博已被作者删除。查看帮助：O网页链接,03月01日 18:29, 转发 ,评论 
希波克拉底门徒之魂,我曾在果壳网上发过视网膜母细胞瘤的文章O患上痊愈率最高的癌症之一，王凤雅还是走了是关于王凤雅小朋友的病情分析。视网膜母细胞瘤治疗效果很好，但拖延不治病情会进展很快，王凤雅小朋友就是一个不幸的例子。希望有关部门早点安排麻麻去专业的大医院就诊。抱歉，此微博已被作者删除。查看帮助：O网页链接,03月01日 18:29, 转发 1,评论 4
北一街八号,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。02oJBVS28。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,02月28日 06:54, 转发 ,评论 
用户3885389661,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。02sahKV18。以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,02月18日 14:29, 转发 ,评论 
xieqi686,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。02eFDJz17。大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,02月17日 10:00, 转发 ,评论 
piaoliumu122,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。02giuEw07。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,02月07日 12:16, 转发 ,评论 
Generic-Drugs,"【“粪口传播是吃屎”被当事人指“断章取义”，网友指责@丁香园“带节奏”】2月5日，一位专家解读“粪口传播”的7秒视频引发网友关注，视频中，专家说道：“什么叫粪口传播，就是你吃了别人的屎，这个很简单。”相关截图被@丁香园发布后，引起网友的质疑。随后，视频当事人，四川省人民医院健康管理中心主任刘玉萍接受采访时指出，网上传播的并非完整片段，她当时在讲解手部卫生，通俗易懂的说法却遭到了断章取义。对此，@丁香园于5日晚在微博辟谣并道歉。O""粪口传播是吃屎""被当事人指断章取义 丁香园道歉L紧急呼叫的秒拍视频收起全文d",02月06日 14:38, 转发 ,评论 
自在的东霖,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。02PwrTp06。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,02月06日 14:51, 转发 ,评论 
咧嘴大哭的屁股-,承认吧，书这种东西，大家是不会看的所以，我找了一些之前读过的文章来和大家分享。都是十几分钟就能看完的作品，但也多少能够引起一些思考。很多朋友想看看温柔的小故事，emmm前几篇是新闻报道类的作品，不怎么温柔，温柔小故事可以直接看最后两篇，可以当做睡前读物啦。热点社会新闻：《“王凤雅事件”调查》O“王凤雅事件”调查：双输的爱这是2018年备受关注的王凤雅事件报道中我个人很喜欢的一篇，前几个月这一案件有了最新的宣判，而且事件涉及的公益慈善问题与近期的讨论也有相似之处。另外，这篇报道还有一个非常高质量的评论区，讨论内容也值得一读。《犹在虎口》O犹在虎口这是2016年对八达岭老虎伤人事件的报道，印象中那次事件也是网络舆论对社会新闻的一次集中表达，现在看来依然颇具代表性。非虚构与纪实文学：《逐梦童模镇》OGQ报道 | 逐梦童模镇：妈妈，我们明天几点拍照？去年最喜欢的一篇非虚构写作，既有行业微观，又具生活气息，用充满人味的笔法写一个“去人化”的故事，表达着对于成长与异化的思考。《快男12年，13个不一样的真人秀》O快男12年，13个不一样的真人秀《快男12年，我们向一场华丽的“悲剧”》O快男12年，我们像一场华丽的「悲剧」应该是大家更熟悉更感兴趣的话题，在他们的自述里窥见一眼快速洗牌的名利场，实在是令人唏嘘。温柔的小故事：《老獾舅舅的礼物》O老獾舅舅的礼物温柔又感人的散文作品，情绪充满张力，语言平实但充满力量。《人们参差入眠的晚上》O人们参差入眠的晚上几条故事线并行的精巧漫画作品，亲切又温暖，几乎是大多数人的生活倒影。阅读愉快收起全文d,02月03日 20:01, 转发 ,评论 
巢皮静葛巢皮勇,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。02HZijU03。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,02月03日 22:25, 转发 ,评论 
Joe-RuoxuDING,承认吧，书这种东西，大家是不会看的所以，我找了一些之前读过的文章来和大家分享。都是十几分钟就能看完的作品，但也多少能够引起一些思考。很多朋友想看看温柔的小故事，emmm前几篇是新闻报道类的作品，不怎么温柔，温柔小故事可以直接看最后两篇，可以当做睡前读物啦。热点社会新闻：《“王凤雅事件”调查》O“王凤雅事件”调查：双输的爱这是2018年备受关注的王凤雅事件报道中我个人很喜欢的一篇，前几个月这一案件有了最新的宣判，而且事件涉及的公益慈善问题与近期的讨论也有相似之处。另外，这篇报道还有一个非常高质量的评论区，讨论内容也值得一读。《犹在虎口》O犹在虎口这是2016年对八达岭老虎伤人事件的报道，印象中那次事件也是网络舆论对社会新闻的一次集中表达，现在看来依然颇具代表性。非虚构与纪实文学：《逐梦童模镇》OGQ报道 | 逐梦童模镇：妈妈，我们明天几点拍照？去年最喜欢的一篇非虚构写作，既有行业微观，又具生活气息，用充满人味的笔法写一个“去人化”的故事，表达着对于成长与异化的思考。《快男12年，13个不一样的真人秀》O快男12年，13个不一样的真人秀《快男12年，我们向一场华丽的“悲剧”》O快男12年，我们像一场华丽的「悲剧」应该是大家更熟悉更感兴趣的话题，在他们的自述里窥见一眼快速洗牌的名利场，实在是令人唏嘘。温柔的小故事：《老獾舅舅的礼物》O老獾舅舅的礼物温柔又感人的散文作品，情绪充满张力，语言平实但充满力量。《人们参差入眠的晚上》O人们参差入眠的晚上几条故事线并行的精巧漫画作品，亲切又温暖，几乎是大多数人的生活倒影。阅读愉快收起全文d,02月03日 20:01, 转发 54,评论 191
Casssss,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,01月19日 02:33, 转发 ,评论 
九月十叁2407405383,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。整齐0115。大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,01月15日 22:04, 转发 ,评论 
Angela淡淡阳光,【独家|公益人#郑鹤红实名举报9958主管王昱#】郑鹤红表示，“43斤女大学生”吴花燕被9958主管王昱当做敛财工具，“不告知患者真实情况，超额募捐并且不及时拨款，拖死患者达到囤积捐款的目的……他们会选择这种临近不治、危重而且家庭条件差的，这是他们一贯的操作手法……我们是一个举报小组，从2018年6月份开始，发现9958很多违规行为，从上万个个案中发现了一二十个违法比较严重的，已经递交到民政部了。”L凤凰网视频的微博视频收起全文d,01月14日 22:30, 转发 ,评论 
直播随州,陈岚实名报警该不该吃官司？请法院普法！#作家陈岚向小凤雅妈妈再次道歉#4月9日，陈岚据志愿者信息，发微博“实名报警”，质疑女童王凤雅家长“利用孩子病情筹款却消极治疗”，疑似把善款“挪用给其弟治唇裂，重男轻女，涉嫌诈捐”。4天后二次微博报警，称前去救助的公益人员遭王凤雅家属施暴。报警难免有不准确的地方，又没蓄意造谣，难道这也要吃官司，法院这样判案岂不是说以后疑似的警情就不要多管闲事收起全文d,01月14日 22:17, 转发 ,评论 
